run_id,rule_id,dataset_id,run_at,status,actual,message
R001-D7,R001,DS001,2026-05-02 06:26:43.362190,PASSED,1000.0,Check passed
R001-D6,R001,DS001,2026-05-03 06:26:43.362190,PASSED,1000.0,Check passed
R001-D5,R001,DS001,2026-05-04 06:26:43.362190,PASSED,1000.0,Check passed
R001-D4,R001,DS001,2026-05-05 06:26:43.362190,PASSED,1000.0,Check passed
R001-D3,R001,DS001,2026-05-06 06:26:43.362190,PASSED,1000.0,Check passed
R001-D2,R001,DS001,2026-05-07 06:26:43.362190,PASSED,1000.0,Check passed
R001-D1,R001,DS001,2026-05-08 06:26:43.362190,PASSED,1000.0,Check passed
R002-D7,R002,DS001,2026-05-02 06:26:43.362190,PASSED,0.001,Check passed
R002-D6,R002,DS001,2026-05-03 06:26:43.362190,PASSED,0.001,Check passed
R002-D5,R002,DS001,2026-05-04 06:26:43.362190,PASSED,0.001,Check passed
R002-D4,R002,DS001,2026-05-05 06:26:43.362190,FAILED,0.023,Revenue null rate spike
R002-D3,R002,DS001,2026-05-06 06:26:43.362190,PASSED,0.001,Check passed
R002-D2,R002,DS001,2026-05-07 06:26:43.362190,PASSED,0.001,Check passed
R002-D1,R002,DS001,2026-05-08 06:26:43.362190,PASSED,0.001,Check passed
R003-D7,R003,DS001,2026-05-02 06:26:43.362190,PASSED,2.4,Check passed
R003-D6,R003,DS001,2026-05-03 06:26:43.362190,PASSED,2.4,Check passed
R003-D5,R003,DS001,2026-05-04 06:26:43.362190,PASSED,2.4,Check passed
R003-D4,R003,DS001,2026-05-05 06:26:43.362190,PASSED,2.4,Check passed
R003-D3,R003,DS001,2026-05-06 06:26:43.362190,PASSED,2.4,Check passed
R003-D2,R003,DS001,2026-05-07 06:26:43.362190,PASSED,2.4,Check passed
R003-D1,R003,DS001,2026-05-08 06:26:43.362190,PASSED,2.4,Check passed
R004-D7,R004,DS002,2026-05-02 06:26:43.362190,PASSED,0.0,Check passed
R004-D6,R004,DS002,2026-05-03 06:26:43.362190,PASSED,0.0,Check passed
R004-D5,R004,DS002,2026-05-04 06:26:43.362190,PASSED,0.0,Check passed
R004-D4,R004,DS002,2026-05-05 06:26:43.362190,PASSED,0.0,Check passed
